ID,公司,職務,類別,工作內容,風險等級,自動化風險分數
6134b6b5-52b0-4473-bab3-3839b46d3ae9,艾奈科技有限公司,資料分析師 Data Analyst,資料科學家,"▍About this role

您將擔任 資料分析師 Data Analyst，負責本公司在 廣告投放、預算優化、遊戲營運與用戶成長 等領域的核心數據分析工作。
透過 Python 與 SQL 工具，挖掘商業數據中的價值，並為平台在全球市場擴展提供策略支援。
此職位將與 行銷、產品、營運 等多個部門密切合作，共同推動業績成長與決策優化。

▍Responsibility

• 分析業務數據，產出可行洞察，驅動商業與營運成長
• 結合微觀用戶行為與宏觀市場趨勢，提出具策略性的分析建議
• 支援廣告成效與用戶導入優化
• 持續優化資料分析流程與報表架構，提高決策效率與準確性
• 規劃與執行 A/B 測試，提供實證基礎的產品與營運調整建議",中風險,0.336
73e36fcb-73fe-417f-b495-7104dc05901e,聯城電腦有限公司,【三重】教務行政人員★稀缺/行政/客服/輔導/老師/歡迎社會新鮮人/晉升透明 /幸福企業,行政人員,"行政人員,資訊助理,其他客服人員
職務說明
1.電腦教室軟硬體設備維護.
2.學員服務(課後問題協助及輔導).
3.與講師溝通協調排課.
4.其他行政庶務交辦.

聯成夥伴分享：https://www.youtube.com/watch?v=DN7fzygzk7I
公司官網：https://www.lccnet.com.tw/lccnet 

♥享週休二日天數排定(假日值班於平日補休)
♥彈性休假(優於各大服務業)
成功取決於夢想的規模，以及為達成夢想所做的努力，歡迎加入我們！！！

☆技能改變人生，成為學員成功的引路人☆
加入我們，一起幫助每位學員創造職涯價值
其他設定",中風險,0.395
73e36fcb-73fe-417f-b495-7104dc05901e,聯城電腦有限公司,【三重】教務行政人員★稀缺/行政/客服/輔導/老師/歡迎社會新鮮人/晉升透明 /幸福企業,資訊助理,"行政人員,資訊助理,其他客服人員
職務說明
1.電腦教室軟硬體設備維護.
2.學員服務(課後問題協助及輔導).
3.與講師溝通協調排課.
4.其他行政庶務交辦.

聯成夥伴分享：https://www.youtube.com/watch?v=DN7fzygzk7I
公司官網：https://www.lccnet.com.tw/lccnet 

♥享週休二日天數排定(假日值班於平日補休)
♥彈性休假(優於各大服務業)
成功取決於夢想的規模，以及為達成夢想所做的努力，歡迎加入我們！！！

☆技能改變人生，成為學員成功的引路人☆
加入我們，一起幫助每位學員創造職涯價值
其他設定",中風險,0.394
73e36fcb-73fe-417f-b495-7104dc05901e,聯城電腦有限公司,【三重】教務行政人員★稀缺/行政/客服/輔導/老師/歡迎社會新鮮人/晉升透明 /幸福企業,其他客服人員,"行政人員,資訊助理,其他客服人員
職務說明
1.電腦教室軟硬體設備維護.
2.學員服務(課後問題協助及輔導).
3.與講師溝通協調排課.
4.其他行政庶務交辦.

聯成夥伴分享：https://www.youtube.com/watch?v=DN7fzygzk7I
公司官網：https://www.lccnet.com.tw/lccnet 

♥享週休二日天數排定(假日值班於平日補休)
♥彈性休假(優於各大服務業)
成功取決於夢想的規模，以及為達成夢想所做的努力，歡迎加入我們！！！

☆技能改變人生，成為學員成功的引路人☆
加入我們，一起幫助每位學員創造職涯價值
其他設定",中風險,0.387
bbcafa67-0201-4ce4-824b-a440156f57fc,博悅網路科技有限公司,專案管理企劃,網站行銷企劃,"●產品管理：負責從需求分析、產品設計到研發跟進，確保產品順利上線，涵蓋部分或完整開發流程。
●產品策劃：編寫詳細的產品設計方案與需求文檔，規劃完整的使用者體驗，並能向 UI 設計師與研發團隊清楚傳達設計意圖，確保產品品質。
●產品開發協作：跨部門溝通協調，推動 UI、RD、QA 密切合作，對接技術、開發、測試、市場等環節，確保產品功能與品質持續優化。
●用戶體驗優化：持續監測產品數據與使用者反饋，進行競品分析，提出可行的優化方案，推動產品不斷迭代與完善。
●使用工具：Axure、Figma、Xmind ",低風險,0.264
bbcafa67-0201-4ce4-824b-a440156f57fc,博悅網路科技有限公司,專案管理企劃,其他資訊專業人員,"●產品管理：負責從需求分析、產品設計到研發跟進，確保產品順利上線，涵蓋部分或完整開發流程。
●產品策劃：編寫詳細的產品設計方案與需求文檔，規劃完整的使用者體驗，並能向 UI 設計師與研發團隊清楚傳達設計意圖，確保產品品質。
●產品開發協作：跨部門溝通協調，推動 UI、RD、QA 密切合作，對接技術、開發、測試、市場等環節，確保產品功能與品質持續優化。
●用戶體驗優化：持續監測產品數據與使用者反饋，進行競品分析，提出可行的優化方案，推動產品不斷迭代與完善。
●使用工具：Axure、Figma、Xmind ",低風險,0.259
bbcafa67-0201-4ce4-824b-a440156f57fc,博悅網路科技有限公司,專案管理企劃,其他專案管理師,"●產品管理：負責從需求分析、產品設計到研發跟進，確保產品順利上線，涵蓋部分或完整開發流程。
●產品策劃：編寫詳細的產品設計方案與需求文檔，規劃完整的使用者體驗，並能向 UI 設計師與研發團隊清楚傳達設計意圖，確保產品品質。
●產品開發協作：跨部門溝通協調，推動 UI、RD、QA 密切合作，對接技術、開發、測試、市場等環節，確保產品功能與品質持續優化。
●用戶體驗優化：持續監測產品數據與使用者反饋，進行競品分析，提出可行的優化方案，推動產品不斷迭代與完善。
●使用工具：Axure、Figma、Xmind ",低風險,0.255
cec91ae7-db5f-428a-ae96-d40acf9ed178,臺北市私立聯誠電腦短期補習班,忠孝【資訊業務助理】歡迎應屆畢業生★課務行政/幸福企業福利優渥/工作單純/完整教育練★,行政人員,"【職務內容】-業務助理/行政客服老師
1. 電腦教室設備維護管理
2. 學員課後服務
3. 班務/行政管理
4. 教材庫存管理
5. 其它採購事務及主管交辦事項

【上班地點】
忠孝分校:台北市大安區忠孝東路四段178號4樓 

【上班時間】
早班 09:00-18:00
中班 11:00-20:00
晚班 14:00-22:00
月休8-10天，排休制(彈性休假/休假自己作主)

【休假福利制度】
♥月休8~10天 (彈性排班)
♥1/1開國紀念日休假
♥春節(除夕~初五放假)過好年
♥國定假日放假(端午、中秋)
♥享特休/婚假/產假等

【福利制度】
☑年年國內+國外旅遊
☑年終獎金、三節禮金、結婚生育津貼等
☑每月部門聚餐補助、生日慶生津貼
☑定期完善教育訓練
☑在職進修補助，透明的升遷管道
☑享勞保+健保及提撥勞退6%

如有問題歡迎加入人資官方line@ 諮詢了解更多^^
★Line ID:@071yewow

聯成夥伴分享：https://www.youtube.com/watch?v=DN7fzygzk7I
公司官網：https://www.lccnet.com.tw/lccnet 

✔主動積極
✔活潑開朗
✔勇於挑戰
✔熱忱助人
只要擁有特質 不管你有無經驗 
※活潑外向愛挑戰、樂於服務與人溝通，歡迎有以上特質的你/妳加入~",中風險,0.398
cec91ae7-db5f-428a-ae96-d40acf9ed178,臺北市私立聯誠電腦短期補習班,忠孝【資訊業務助理】歡迎應屆畢業生★課務行政/幸福企業福利優渥/工作單純/完整教育練★,其他客服人員,"【職務內容】-業務助理/行政客服老師
1. 電腦教室設備維護管理
2. 學員課後服務
3. 班務/行政管理
4. 教材庫存管理
5. 其它採購事務及主管交辦事項

【上班地點】
忠孝分校:台北市大安區忠孝東路四段178號4樓 

【上班時間】
早班 09:00-18:00
中班 11:00-20:00
晚班 14:00-22:00
月休8-10天，排休制(彈性休假/休假自己作主)

【休假福利制度】
♥月休8~10天 (彈性排班)
♥1/1開國紀念日休假
♥春節(除夕~初五放假)過好年
♥國定假日放假(端午、中秋)
♥享特休/婚假/產假等

【福利制度】
☑年年國內+國外旅遊
☑年終獎金、三節禮金、結婚生育津貼等
☑每月部門聚餐補助、生日慶生津貼
☑定期完善教育訓練
☑在職進修補助，透明的升遷管道
☑享勞保+健保及提撥勞退6%

如有問題歡迎加入人資官方line@ 諮詢了解更多^^
★Line ID:@071yewow

聯成夥伴分享：https://www.youtube.com/watch?v=DN7fzygzk7I
公司官網：https://www.lccnet.com.tw/lccnet 

✔主動積極
✔活潑開朗
✔勇於挑戰
✔熱忱助人
只要擁有特質 不管你有無經驗 
※活潑外向愛挑戰、樂於服務與人溝通，歡迎有以上特質的你/妳加入~",中風險,0.397
cec91ae7-db5f-428a-ae96-d40acf9ed178,臺北市私立聯誠電腦短期補習班,忠孝【資訊業務助理】歡迎應屆畢業生★課務行政/幸福企業福利優渥/工作單純/完整教育練★,資訊助理,"【職務內容】-業務助理/行政客服老師
1. 電腦教室設備維護管理
2. 學員課後服務
3. 班務/行政管理
4. 教材庫存管理
5. 其它採購事務及主管交辦事項

【上班地點】
忠孝分校:台北市大安區忠孝東路四段178號4樓 

【上班時間】
早班 09:00-18:00
中班 11:00-20:00
晚班 14:00-22:00
月休8-10天，排休制(彈性休假/休假自己作主)

【休假福利制度】
♥月休8~10天 (彈性排班)
♥1/1開國紀念日休假
♥春節(除夕~初五放假)過好年
♥國定假日放假(端午、中秋)
♥享特休/婚假/產假等

【福利制度】
☑年年國內+國外旅遊
☑年終獎金、三節禮金、結婚生育津貼等
☑每月部門聚餐補助、生日慶生津貼
☑定期完善教育訓練
☑在職進修補助，透明的升遷管道
☑享勞保+健保及提撥勞退6%

如有問題歡迎加入人資官方line@ 諮詢了解更多^^
★Line ID:@071yewow

聯成夥伴分享：https://www.youtube.com/watch?v=DN7fzygzk7I
公司官網：https://www.lccnet.com.tw/lccnet 

✔主動積極
✔活潑開朗
✔勇於挑戰
✔熱忱助人
只要擁有特質 不管你有無經驗 
※活潑外向愛挑戰、樂於服務與人溝通，歡迎有以上特質的你/妳加入~",中風險,0.391
