職缺名稱,公司,需求人數,職位類別,工作待遇,工作技能,學歷要求,地點,經歷要求,工作內容
嵌入式系統工程師,圓剛科技股份有限公司,1~2人,"軟體工程師
、韌體工程師",待遇面議,不拘,大學,新北市中和區,3年,"嵌入式系統 Bring-up
 
負責新產品的嵌入式系統初始化與啟動，主要為 Linux 系統上的週邊裝置驅動整合，未來可能會涉及 RTOS 或是 Android 專案
 
整合並開發與週邊裝置的驅動程式，包括但不限於 I2C、I2S、UART、SPI、MIPI、CAN Bus、RS485、M.2 或 mPCI 等通訊介面，確保系統與硬體之間的無縫交互。
BSP 開發與支援
 
提供並維護適用於產品軟體開發的 Board Support Package（BSP），確保軟硬體整合的順利進行。
穩定性測試與維護
 
編寫並維護穩定性測試腳本，確保新產品在不同環境下的穩定運行，並持續優化測試流程。
客戶技術支援與問題解決
 
分析並解決客戶在產品使用過程中遇到的技術問題，必要時與供應商協作，提供有效的解決方案，確保產品的穩定性與可靠性。
任職要求:
 
精通嵌入式系統開發，熟悉 Linux 系統，熟悉 Yocto 者尤佳。
具備週邊裝置驅動程式開發經驗，了解多種通訊介面的工作原理與應用。
熟悉 BSP 開發，具備軟硬體整合能力。
優秀的問題分析與解決能力，能夠有效應對技術挑戰。
具備良好的溝通技巧，能夠與內外部團隊協作解決問題。"
[CNS] 雲端平台JAVA後端 資深工程師,動力安全資訊股份有限公司,1~2人,"軟體工程師
、Internet程式設計師
、系統工程師",待遇面議,軟體工程系統開發、軟體程式設計,專科,台北市內湖區,3年,"我們正在尋找優秀的JAVA後端應用程式開發人員，與我們的客戶一起使用最新技術來建置客製化的系統，構建在容器化的雲端平台。

主要的任務： 
- 與專案負責人及其它開發團隊成員合作，快速且準確的確定新功能及使用者需求
- 負責設計、開發和維護公司專案，並確保程式品質有一定的可讀性
- 協助重構部分專案，並導入設計模式及單元測試
- 協助PM、SA撰寫技術文件
- 根據業務需要，進行功能開發、架構設計以及性能優化
- 主管指派其他任務"
韌體設計資深工程師_高階客製電源事業部(外派泰國),台達電子工業股份有限公司 _DELTA ELECTRONICS INC.,1~2人,"韌體工程師
、軟體工程師",待遇面議,韌體工程開發、軟體程式設計、韌體程式設計,碩士,泰國,2年,"工作技能 :
1. 具備電力電子PSIM, SIMPLIS模擬技巧.
2. 程式C語言及組語在學校上課至少1學期以上.
3. 有使用DSP開發過三相PFC經驗, TI跟MICROCHIP為佳.

主要職責 :
1.熟悉基本工具及程式語言。
2.進行單元功能程式整合。
3.單元功能程式撰寫及驗證。
4.系統壓力測試。
5.撰寫工程規格 / 技術文件 (包含測試計畫)。

**在台訓練1-2個月後外派泰國"
【資訊科技】.NET開發工程師,遠東國際商業銀行股份有限公司,1人,Internet程式設計師,待遇面議,不拘,大學,新北市板橋區,3年,"1..NET系統開發及維運：信用卡相關資訊應用程式系統程式設計及開發。
2. 配合業務需求進行需求訪談分析與設計。"
[台中] 軟體專案管理師,天鏡科技股份有限公司,1人,"軟體專案管理師
、軟體專案主管
、專案經理","月薪32,000~45,000元",不拘,大學,台中市西屯區,2年,"【工作內容】
1.專案需求了解與溝通，分析市場競品與產品定位。
2.產品功能及系統架構發想、使用者流程及Wireframe規劃。
3.撰寫並整合product requirements，與engineering team及design team 協作產品開發。
4.產品驗收、產品優化、開發進度追蹤與控管。
5.其他主管交待事項。

【職務需求】
1.善用Notion、Figma等產品開發輔助工具。
2.具清晰邏輯表達、用戶行為分析、創造視覺美感能力。
3.熟悉科技趨勢及數位領域、瞭解APP相關應用。
4.具備英文文件閱讀及理解能力。
5.能夠快速融入團隊，在跨部門間溝通與協調，一同合作完成專案。

【加分條件】
1. 熟悉軟體專案開發流程。
2. 具備RWD網站或跨平台裝置產品規劃實務經驗。
3. 熟悉數位廣告且具有FIGMA使用經驗者尤佳。
4. 有軟體類產品企劃與開發經驗者優先錄取，請提供作品集。"
MIS 程式設計師,大中鋼鐵股份有限公司,1人,"Internet程式設計師
、軟體工程師
、系統分析師","月薪35,000~44,000元",伺服器網站管理維護、作業系統基本操作、資訊設備操作檢修、軟體程式設計、網路程式設計,大學,台中市南屯區,不拘,"1.負責ERP軟體之分析、維護設計以及程式撰寫。
2.進行軟體之測試與修改。
3.處理個人電腦軟硬體故障排除
4.基礎網路問題排除
5.撰寫系統分析文件
6.其他主管交辦事項。"
DN-策略備品中心工程師(工作地:新竹工業區_湖口),鴻佰科技股份有限公司,2~3人,"系統分析師
、其他資訊專業人員
、營運管理師／系統整合／ERP專案師","月薪35,000~65,000元",專案規劃執行╱範圍管理、專案溝通╱整合管理,大學,新竹縣湖口鄉,不拘,"1.跨部門溝通、協調能力
2.與供應商洽談貨物維修或其他相關訊息
3.庫存盤點
4.進出庫貨物追蹤
5.異常處理
6.部門流程優化改善"
NQ-MES系統開發工程師,鴻佰科技股份有限公司,1~2人,"資料庫管理人員
、系統工程師
、MES工程師",待遇面議,不拘,大學,桃園市蘆竹區,1年,"1. MES關聯系統/網站/開發與系統集成測試
2. 新專案導入評估與資訊平台建立
3. 設備自動化資訊收集與控制
4. 系統資訊整合與呈現"
系統分析師(SA),和康顧問有限公司,1~2人,"軟體工程師
、系統分析師","月薪45,000元以上",系統架構規劃、軟體程式設計,專科,台北市中正區,5年,"1. 具備程式設計、網站維護相關經驗。 
2. 網站建置、網站維護、程式設計、技術文件撰寫。
3. 需求分析、系統分析。
4. 資安防護。"
資訊室 開發工程師,新泰綜合醫院,1人,軟體工程師,"月薪36,000~45,000元",伺服器網站管理維護、資料備份與復原、電腦設備裝配、資訊設備操作檢修、資訊設備環境設定、安裝與維護網路安全系統、規劃與管理防火牆,專科,新北市新莊區,不拘,"1. 醫療資訊系統開發及維運管理。
2. 電子病歷系統表單開發及維運管理。
3. 醫療系統開發流程規劃及架構基礎元件。
4. 醫療系統需求訪談與分析與測試。
5. 醫療資訊委外專案後續管理。
6. 其他臨時交辦事項。"
